"平成22年基準和歌山市消費者物価指数変化率(前月比)【10倍値】","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"198002","4","19","36","-48","-63","27","18","86","137","193","200","19","0","0","16","0","0","-8","-11","4","10","0","0","104","-","16","0","0","103","6","32","0","-68","-121","5","-153","-47","-64","-16","4","-46","3","1","0","4","0","4","0","12","0","0","0","0","0","21","-8","114","1","-4","14","6","1","67","0","0","47","-63","137","200","-1","11","6","0","-7","0","-","-","2","19","-","","",""
"198003","2","-5","31","-62","-95","0","67","-55","-93","75","82","9","1","0","0","41","0","-3","-9","26","5","0","16","2","-","4","7","0","0","2","12","0","41","69","0","89","40","50","22","6","26","0","6","2","3","8","5","12","-1","0","1","0","22","0","-5","2","-22","-1","-2","0","0","0","0","0","0","-67","-95","-93","82","10","15","2","11","-6","11","-","-","3","-3","-","","",""
"198004","32","14","23","43","60","18","-25","-76","-121","75","78","8","1","39","2","18","38","6","0","35","235","388","185","25","-","7","15","-2","2","8","7","0","61","116","7","147","28","30","24","6","34","19","0","4","-4","0","5","0","15","0","83","121","0","38","17","-6","9","1","36","3","11","2","-5","0","0","-8","60","-121","78","35","21","34","21","2","39","-","-","60","15","-","","",""
"198005","0","-17","3","-36","-58","7","-25","-111","-184","-63","-66","1","25","9","1","41","4","-12","-17","8","5","0","0","53","-","11","4","2","0","37","21","0","30","66","8","80","0","-4","8","-4","0","10","0","0","0","0","11","24","6","1","0","0","0","0","5","0","-33","2","26","54","22","0","0","210","0","-103","-58","-184","-66","10","8","1","2","-6","12","-","-","1","9","-","","",""
"198006","12","15","-2","25","22","1","-36","101","168","32","35","1","0","13","0","0","5","-4","-6","4","0","0","0","0","-","0","0","0","3","2","-10","0","37","-18","0","-22","179","281","-5","-4","2","3","0","0","3","-1","-2","0","-5","0","0","0","0","0","26","0","10","143","-3","6","22","0","0","0","0","71","22","168","35","7","2","13","1","-3","7","-","-","0","23","-","","",""
"198007","-5","-9","0","-13","-15","3","13","-108","-183","36","39","2","0","16","2","0","4","0","0","4","4","8","0","0","-","2","4","0","0","0","7","0","-21","0","0","0","-69","-100","0","0","0","0","3","1","16","0","-2","0","-6","0","0","0","0","0","-1","0","-31","24","1","4","14","0","0","0","0","-62","-15","-183","39","1","6","-5","2","0","1","-","-","0","-1","-","","",""
"198008","-5","14","0","37","58","0","43","86","158","-58","-60","7","3","5","0","0","4","3","0","12","0","0","0","0","-","5","12","0","0","5","0","0","-120","-188","-2","-232","-128","-189","0","0","-12","0","-1","3","0","-2","-4","0","-10","0","0","0","0","0","15","-15","50","4","13","0","0","0","0","0","0","62","58","158","-60","-10","1","-5","7","0","-11","-","-","0","14","-","","",""
"198009","16","29","5","-32","-46","5","13","180","298","222","232","11","33","0","0","0","0","-7","-10","10","0","0","0","0","-","4","4","0","26","8","-2","0","84","120","8","154","120","173","31","-40","42","27","0","0","0","0","-4","0","-11","0","0","0","0","0","-11","5","-35","-1","-6","2","0","4","5","0","0","120","-46","298","232","6","4","18","4","-5","7","-","-","0","-10","-","","",""
"198010","7","-12","2","10","20","13","87","-130","-203","-50","-52","5","-2","0","0","0","0","1","0","1","0","0","0","3","-","23","29","84","1","2","10","0","82","164","15","203","31","42","9","14","12","0","2","12","-5","0","5","11","0","2","0","0","0","0","16","0","68","-2","2","1","0","0","5","0","0","-80","20","-203","-52","16","9","7","1","0","17","-","-","0","17","-","","",""
"198011","7","14","1","35","44","0","-14","94","154","-4","-3","13","-7","0","-13","0","0","0","0","3","-1","0","0","-16","-","-3","-4","0","0","2","-10","0","12","27","0","33","-7","-9","0","9","10","8","-2","0","-10","0","0","0","0","0","2","0","40","0","4","0","14","1","1","1","0","0","1","0","0","71","44","154","-3","1","-1","7","1","0","1","-","-","2","3","-","","",""
"198012","-4","-10","3","44","52","0","14","-120","-196","-75","-78","-1","0","-6","14","0","0","18","22","1","-2","0","0","-22","-","-9","3","-66","2","1","0","0","2","9","3","11","0","0","0","-33","0","0","-1","-4","0","0","-10","0","-10","-24","0","0","0","0","-5","0","-27","18","-4","6","18","5","0","0","0","-63","52","-196","-78","1","6","-5","7","15","0","-","-","0","-4","-","","",""
"198101","3","15","0","-24","-37","0","-18","183","322","-3","-3","-1","-2","-4","0","0","8","1","1","0","0","0","0","0","-","10","2","-40","0","0","85","0","-58","-88","0","-107","-65","-98","0","0","0","0","7","17","15","0","0","0","0","0","0","0","0","0","20","-2","80","-14","11","-5","0","2","-29","0","0","70","-37","322","-3","-2","0","2","2","5","-4","-","-","3","18","-","","",""
"198102","-7","-1","2","-29","-40","0","45","-23","-33","74","76","0","0","0","0","1","0","0","0","1","-1","0","0","-7","-","-9","8","0","-114","0","-1","0","-47","-93","-22","-110","-16","-26","0","78","-141","0","0","0","0","0","4","0","-3","19","0","0","0","0","-13","-3","-38","0","-8","6","0","1","26","0","0","-14","-40","-33","76","-6","4","-6","1","0","-6","-","-","0","-12","-","","",""
"198103","4","3","1","14","16","1","18","-26","-40","62","64","8","10","-35","-9","0","2","1","1","1","0","0","0","0","-","0","2","0","1","1","-7","0","16","-3","-5","-3","25","37","3","22","108","0","-1","5","0","-4","0","0","0","0","0","0","0","0","11","-1","42","1","1","1","0","0","9","0","0","8","16","-40","64","3","0","4","1","2","4","-","-","0","10","-","","",""
"198104","12","3","0","14","29","-14","-118","71","116","11","11","1","-1","0","0","0","-1","6","5","7","0","0","0","0","-","7","1","-5","140","-2","-18","0","45","54","20","63","72","106","12","0","24","26","0","6","-3","0","4","0","3","11","113","90","82","151","2","-2","-48","3","30","-2","0","1","-11","0","0","53","29","116","11","9","-10","12","7","8","8","-","-","80","0","-","","",""
"198105","10","-3","36","-49","-72","9","-38","-48","-77","-3","-3","5","13","0","44","78","13","1","1","1","0","0","0","0","-","-12","18","-141","0","0","1","1","64","163","6","203","-20","-42","21","0","0","0","0","0","0","0","39","68","38","3","18","32","0","0","1","16","-11","-3","5","0","0","0","0","0","0","-58","-72","-77","-3","16","13","10","3","5","16","-","-","23","13","-","","",""
"198106","6","3","0","23","37","1","16","-73","-115","120","122","5","0","10","-1","0","0","9","24","-50","4","0","0","43","-","-1","0","0","0","9","-15","0","36","9","-1","11","123","190","1","1","-10","15","10","0","5","15","0","0","0","0","2","3","0","0","-4","16","-29","-1","1","0","0","0","0","0","0","7","37","-115","122","5","2","5","-22","16","5","-","-","1","-5","-","","",""
"198107","-7","-2","24","4","10","2","25","-20","-34","-88","-91","3","0","0","1","0","0","1","0","1","1","0","0","7","-","0","3","0","0","0","-8","0","-65","-102","-1","-123","-64","-93","0","0","-15","0","0","0","0","0","1","1","0","0","0","0","0","0","8","17","31","0","-2","0","0","-1","0","0","0","-29","10","-34","-91","-5","6","-7","1","2","-6","-","-","1","7","-","","",""
"198108","-7","-4","-2","-6","-16","1","14","9","15","-79","-82","1","4","-2","1","0","0","0","0","2","2","0","0","29","-","-1","-4","0","2","0","2","0","-86","-114","-3","-141","-115","-174","0","0","-41","0","2","11","0","0","3","0","31","-28","0","0","0","0","16","0","56","3","7","2","0","9","0","0","0","-23","-16","15","-82","-5","2","-8","1","0","-6","-","-","0","15","-","","",""
"198109","10","17","0","45","66","2","7","45","73","88","91","0","14","0","0","0","1","0","0","0","3","0","0","27","-","-5","-20","1","0","5","4","0","66","118","3","151","66","111","-3","-1","-50","7","3","11","0","0","2","0","4","0","0","0","0","0","-23","0","-98","2","-3","5","0","23","-7","0","0","74","66","73","91","3","3","11","0","0","5","-","-","1","-21","-","","",""
"198110","8","2","0","-39","-57","0","81","-39","-66","158","164","-1","4","0","0","0","0","0","0","-1","1","0","0","13","-","41","45","132","48","6","36","0","46","82","12","99","18","27","0","-5","119","0","0","0","0","0","0","0","2","0","0","0","0","0","-1","-19","-2","1","3","11","0","0","60","0","0","-7","-57","-66","164","10","3","8","0","0","10","-","-","2","-2","-","","",""
"198111","-5","-14","1","6","2","0","-15","-6","-14","-298","-308","-4","70","5","-2","0","0","1","0","3","0","0","0","2","-","-3","-3","0","-25","1","-3","0","12","14","-1","18","15","23","0","11","0","0","0","0","0","0","2","0","4","0","0","0","0","0","-1","0","-5","4","0","-3","0","0","-13","0","0","-89","2","-14","-308","3","8","-5","2","2","4","-","-","0","-1","-","","",""
"198112","4","1","0","-18","-34","0","22","-16","-27","72","75","0","3","2","0","0","0","17","21","1","0","0","0","0","-","1","-2","0","0","10","3","0","0","-2","0","-2","0","0","0","2","0","0","1","0","4","0","10","23","0","0","0","0","0","0","10","0","33","14","-1","-2","13","1","-35","0","0","-8","-34","-27","75","6","3","3","9","17","3","-","-","0","9","-","","",""
"198201","-4","5","-1","42","56","0","-90","-23","-28","57","60","12","0","0","8","0","14","0","0","1","0","0","0","0","-","-2","-3","-152","0","3","4","131","-77","-113","-12","-136","-77","-117","0","0","-81","0","1","8","0","0","8","22","1","0","0","0","0","0","10","1","31","-16","15","4","0","0","21","0","0","31","56","-28","60","-8","-2","-4","0","0","-7","-","-","1","14","-","","",""
"198202","-6","-6","0","-50","-37","-8","-21","-3","-6","4","4","3","3","5","2","0","19","1","0","0","0","0","0","0","-","-9","-34","29","0","0","-2","0","-51","-105","-2","-131","-14","-22","0","0","-30","0","3","7","5","0","3","6","2","0","0","0","0","0","8","0","46","4","-5","0","0","0","0","0","0","-18","-37","-6","4","-4","-2","-7","1","2","-5","-","-","0","9","-","","",""
"198203","4","6","-1","7","3","-2","13","-5","-10","111","115","0","-3","-12","0","0","1","2","3","0","-1","0","0","-6","-","-5","0","0","-55","0","0","0","29","32","-1","41","32","65","-22","0","121","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","-1","-2","-2","0","0","0","0","0","0","26","3","-10","115","1","0","5","2","4","3","-","-","0","-1","-","","",""
"198204","13","11","30","33","24","-2","-33","70","120","-65","-68","-3","3","-5","2","0","3","37","40","23","2","0","3","0","-","16","0","136","110","-10","-36","0","22","43","-5","57","10","3","21","0","33","0","5","5","0","6","0","0","0","0","39","66","0","0","1","-7","-33","2","19","9","12","5","21","0","0","27","24","120","-68","13","7","10","22","22","9","-","-","35","1","-","","",""
"198205","7","-11","3","-30","-21","2","-6","-80","-133","-53","-55","0","1","0","0","0","23","0","0","0","0","0","0","0","-","4","14","0","0","0","0","0","115","225","2","284","56","86","2","0","0","0","0","0","0","0","15","32","7","0","0","0","0","0","-3","2","-17","0","3","0","0","0","0","0","0","-62","-21","-133","-55","12","3","8","0","0","14","-","-","6","4","-","","",""
"198206","4","-1","1","-11","-8","0","-2","0","-1","-7","-13","-7","14","0","10","0","0","13","16","1","0","0","0","0","-","0","0","0","0","0","0","0","15","5","-1","6","49","74","3","0","11","0","0","1","0","0","2","3","-1","0","0","0","0","0","10","-1","49","0","-1","0","0","1","0","0","0","-8","-8","-1","-13","5","1","4","7","14","4","-","-","0","9","-","","",""
"198207","-17","-11","-1","38","59","2","-19","-103","-177","-124","-130","-9","-13","0","0","0","4","0","0","2","0","0","0","0","-","0","-1","1","0","0","0","0","-101","-91","0","-109","-206","-306","0","-22","0","0","0","0","-4","0","0","4","-3","0","0","0","0","0","-22","-7","-96","0","0","0","0","0","0","0","0","-52","59","-177","-130","-15","-2","-19","1","0","-16","-","-","0","-19","-","","",""
"198208","10","35","3","39","62","10","23","273","533","33","40","-6","1","26","0","0","0","1","0","2","0","0","0","6","-","-1","0","-7","0","0","0","0","-76","-154","-3","-188","-12","-22","0","0","-27","0","1","0","11","0","6","0","15","0","0","0","0","0","34","0","147","5","6","0","0","0","0","0","0","173","62","533","40","-1","3","11","1","0","-1","-","-","0","30","-","","",""
"198209","27","24","0","58","79","-1","40","48","75","241","252","4","1","-33","0","0","0","77","94","-2","8","0","0","80","-","-26","-15","-140","-41","-6","0","0","124","140","13","175","233","397","8","12","42","5","4","0","21","0","0","-2","2","0","0","0","0","0","8","-4","37","15","-5","-7","0","-7","-29","0","0","111","79","75","252","19","0","22","24","55","13","-","-","1","6","-","","",""
"198210","1","-8","-1","6","9","0","47","-53","-83","-91","-96","-4","3","-9","-2","0","0","1","1","0","1","0","0","12","-","18","38","0","-18","0","43","0","65","142","3","174","22","35","-4","1","-45","0","0","0","0","0","2","3","0","1","0","0","0","0","-24","0","-107","1","4","2","0","7","0","0","0","-41","9","-83","-96","6","2","1","1","2","6","-","-","0","-21","-","","",""
"198211","-11","-20","0","-14","-19","-9","-21","-131","-211","-22","-22","0","0","-34","0","0","0","0","0","3","1","0","0","6","-","1","7","1","0","0","-5","0","-14","-18","-1","-21","-4","-8","0","-47","18","0","0","0","-3","0","-2","-3","1","0","0","0","0","0","-13","0","-55","0","-2","0","0","1","0","0","0","-77","-19","-211","-22","-5","-3","-11","2","2","-5","-","-","0","-12","-","","",""
"198212","-6","-18","-4","-22","-39","1","-45","-70","-124","-176","-184","4","22","5","0","0","5","4","4","3","-2","0","0","-17","-","-2","-5","-23","0","0","11","0","-9","-22","0","-26","0","0","0","0","19","0","8","31","8","0","1","1","0","0","0","0","0","0","10","-37","54","18","-1","0","0","0","0","0","0","-92","-39","-124","-184","1","2","-6","5","6","1","-","-","0","9","-","","",""
"198301","-2","11","0","48","65","3","-75","96","178","-63","-66","-1","-1","-3","0","0","0","1","0","2","-1","0","0","-11","-","-2","6","-1","-42","0","0","0","-70","-98","0","-119","-81","-123","5","0","-66","0","-5","4","0","-11","0","1","0","0","0","0","0","0","4","-10","37","-18","2","1","0","3","0","0","0","67","65","178","-66","-7","-5","-3","1","0","-8","-","-","-1","4","-","","",""
"198302","-3","10","1","11","27","6","24","-11","-9","119","125","12","0","49","0","0","10","3","4","-2","-3","0","0","-22","-","-1","-4","0","0","0","2","0","-87","-119","0","-149","-126","-199","0","0","0","0","1","0","0","2","-4","-2","-9","0","0","0","0","0","12","0","16","2","16","3","0","0","17","0","0","33","27","-9","125","-6","5","-3","0","2","-7","-","-","0","10","-","","",""
"198303","12","10","0","-55","-70","3","112","61","94","174","183","-7","19","2","0","0","0","-1","-1","-1","-2","0","0","-27","-","8","0","0","62","0","11","0","87","116","-1","151","118","204","0","0","92","0","1","4","0","0","-1","3","-7","0","0","0","0","0","6","0","32","-1","0","1","0","0","4","0","0","20","-70","94","183","12","8","12","-1","-1","12","-","-","0","6","-","","",""
"198304","14","19","0","79","103","16","-33","41","59","5","5","12","0","18","0","0","5","1","0","4","-1","0","0","-6","-","-5","-32","0","43","9","0","0","5","-9","0","-11","23","40","-3","8","37","0","1","0","3","0","0","1","0","0","99","47","0","196","7","20","3","1","8","5","0","9","0","0","250","69","103","59","5","9","6","15","3","3","9","-","-","73","7","-","","",""
"198305","15","16","6","4","-5","-4","-69","97","160","140","150","-3","0","37","1","0","1","1","2","0","-1","0","0","-13","-","-3","-1","0","0","44","-64","0","107","190","4","237","91","143","2","0","-9","0","0","0","0","0","-5","0","-14","0","3","5","0","0","-8","0","-34","-1","0","30","0","0","0","120","0","72","-5","160","150","10","1","17","3","5","12","-","-","2","-8","-","","",""
"198306","-4","-15","11","-35","-48","0","15","-123","-198","31","31","7","2","-16","-1","33","0","8","10","1","-1","0","0","-6","-","0","0","0","0","-1","1","0","21","-24","-12","-27","129","195","-4","-17","0","0","1","0","9","0","-3","-4","-3","0","0","0","0","0","-14","4","-66","0","2","6","13","10","0","0","0","-76","-48","-198","31","2","4","-5","3","5","2","-","-","1","-13","-","","",""
"198307","-7","-20","2","-24","-32","0","3","-30","-51","-221","-230","5","0","-37","0","0","0","1","0","2","0","0","0","0","-","0","0","0","0","2","4","0","-10","-21","-1","-26","0","0","0","0","-16","0","3","0","14","0","-2","4","-10","0","0","0","0","0","10","-1","48","0","1","0","0","0","0","0","0","-85","-32","-51","-230","0","-2","-8","1","-1","-1","-","-","0","10","-","","",""
"198308","-7","10","0","-16","-20","0","-18","88","154","94","98","-1","0","0","0","0","0","0","0","1","0","0","0","-6","-","1","0","0","0","0","2","0","-112","-189","-5","-229","-94","-134","0","0","1","0","0","0","0","0","-7","0","-4","-23","0","0","0","0","9","5","21","3","7","0","0","0","0","0","0","50","-20","154","98","-12","0","-8","1","0","-13","-","-","0","7","-","","",""
"198309","11","12","0","19","20","3","53","43","54","68","72","-7","0","0","0","0","0","-1","-1","0","0","0","0","0","-","2","6","0","0","0","0","0","57","140","16","174","-11","-20","4","29","16","0","0","0","0","0","6","-3","19","-1","0","0","0","0","1","-8","23","-2","-7","0","0","0","0","0","0","41","20","54","72","8","4","12","-1","-1","8","-","-","0","0","-","","",""
"198310","6","4","-2","-16","-20","-12","23","45","75","10","10","8","-1","-5","0","25","3","0","0","-2","0","0","0","0","-","19","38","4","-28","0","61","0","41","98","47","112","4","6","1","0","-56","0","0","0","0","0","1","3","0","0","0","0","0","0","-1","0","-13","2","4","8","23","0","11","0","0","15","-20","75","10","5","0","6","1","3","6","-","-","0","0","-","","",""
"198311","-7","-17","-1","-33","-55","-15","-11","-24","-79","-169","-175","-6","0","0","0","12","5","1","1","1","-2","0","0","-14","-","2","1","0","2","6","0","0","13","23","0","28","10","14","0","0","-10","0","0","0","0","0","0","-3","3","0","0","0","0","0","-12","21","-63","0","0","4","10","0","0","0","0","-89","-55","-79","-175","1","4","-7","1","2","1","-","-","0","-11","-","","",""
"198312","-1","-7","11","-41","-32","0","21","-55","-105","82","87","8","-14","-7","0","0","0","1","-1","10","-3","0","0","-40","-","3","7","0","6","0","0","0","2","4","0","5","0","0","0","0","8","0","1","5","0","0","4","21","-14","0","1","0","12","0","8","0","25","20","-3","1","0","3","0","0","0","-31","-32","-105","87","2","-1","-1","4","-2","2","-","-","0","14","-","","",""
"198401","-3","22","6","125","185","0","-49","86","151","-78","-82","7","1","2","0","1","2","3","2","15","-2","0","-3","-8","-","-4","0","0","0","-7","-10","0","-110","-182","0","-220","-80","-120","0","0","-75","0","0","0","0","0","-1","0","-3","0","0","0","0","0","0","-2","10","-17","4","-12","0","0","-66","0","0","115","185","151","-82","-13","-1","-3","12","7","-14","-","-","0","0","-","","",""
"198402","-2","5","14","-67","-99","0","60","78","132","24","25","-2","0","-2","14","1","4","1","0","0","0","0","0","0","-","-8","-17","0","-34","0","0","0","-46","-47","0","-61","-98","-152","0","7","0","0","2","7","0","0","5","16","-7","0","0","0","0","0","6","0","34","2","-2","-2","0","-7","0","0","0","-5","-99","132","25","0","7","-2","2","2","-1","-","-","1","7","-","","",""
"198403","12","13","1","50","69","0","15","1","-6","55","57","0","0","31","-1","0","2","-1","0","-1","0","0","0","0","-","6","0","0","64","0","5","0","60","32","0","42","156","261","-3","0","78","0","-8","0","0","-13","0","3","-5","0","0","0","0","0","15","0","66","-2","0","0","0","0","3","0","0","41","69","-6","57","8","5","12","-1","0","9","-","-","0","14","-","","",""
"198404","-2","-13","0","-22","-28","4","-61","-34","-54","-28","-29","0","0","-49","1","0","0","1","1","1","1","0","0","9","-","0","-8","0","0","12","0","0","33","41","3","51","41","62","0","0","47","17","13","55","0","0","1","0","5","0","29","51","0","0","-14","0","-95","2","19","5","0","4","0","0","286","-37","-28","-54","-29","2","-8","-2","2","2","2","-","-","22","-12","-","","",""
"198405","13","7","1","5","-1","0","-13","-14","-20","84","89","-4","0","0","0","70","10","21","24","2","0","0","0","0","-","-14","-11","0","0","-6","-55","0","61","115","2","145","47","68","3","0","0","0","0","0","0","0","17","40","2","0","3","5","0","0","12","-2","42","0","5","0","0","0","0","0","0","10","-1","-20","89","13","6","12","7","15","12","-","-","5","19","-","","",""
"198406","0","-16","4","-14","-25","-2","-34","-102","-172","-49","-52","-7","10","0","6","1","0","2","2","1","0","0","0","0","-","-1","-3","0","0","0","0","0","92","56","-12","71","234","344","-5","0","0","0","0","0","0","0","-3","-3","-7","0","0","0","0","0","-19","0","-77","-2","-2","0","0","0","0","0","0","-76","-25","-172","-52","7","1","1","2","2","8","-","-","0","-17","-","","",""
"198407","-4","5","-1","-18","-17","0","6","20","35","94","97","15","1","24","2","0","0","0","0","1","0","0","0","0","-","-1","0","0","0","1","-10","0","-65","-27","0","-33","-160","-214","0","-2","-26","0","0","0","0","0","2","3","0","0","0","0","0","0","7","0","29","0","1","0","0","0","0","0","0","22","-17","35","97","-6","2","-4","2","2","-7","-","-","0","6","-","","",""
"198408","-13","-1","0","80","104","0","13","-37","-63","-187","-194","-1","1","0","0","0","0","0","0","0","0","0","0","0","-","0","0","0","0","4","-3","0","-129","-240","-2","-294","-73","-105","0","0","-24","0","2","7","0","0","-4","5","2","-21","0","0","0","0","1","-2","-7","2","7","-6","0","0","-37","0","0","-12","104","-63","-194","-13","3","-14","0","0","-14","-","-","0","3","-","","",""
"198409","21","17","0","-58","-85","11","47","82","158","401","420","-3","-9","0","0","0","0","0","0","1","0","0","0","2","-","3","1","0","0","10","2","0","154","379","9","498","10","13","0","0","74","5","1","3","0","0","6","-7","25","0","0","0","0","0","1","0","14","1","-6","5","0","1","26","0","0","75","-85","158","420","15","2","23","0","0","18","-","-","0","-1","-","","",""
"198410","11","2","-3","20","29","0","8","-52","-79","73","76","0","0","-3","0","0","0","0","0","-2","0","0","0","0","-","-4","0","0","-123","0","51","0","80","182","240","170","-11","-23","16","0","-23","0","42","0","0","73","-2","2","-6","0","1","2","0","0","8","0","37","-2","1","0","0","0","0","0","0","10","29","-79","76","11","-2","11","0","2","11","-","-","1","8","-","","",""
"198411","-7","-15","10","4","-7","0","-23","-76","-126","-124","-128","-4","-1","-10","0","0","0","0","0","1","-1","0","0","-7","-","1","3","0","0","0","2","0","-5","-7","0","-8","0","0","0","-11","0","0","0","0","0","0","-1","-2","0","0","0","0","0","0","-11","5","-52","1","1","6","0","23","0","0","0","-70","-7","-126","-128","-1","1","-8","0","0","-2","-","-","0","-10","-","","",""
"198412","-1","-1","0","-15","-24","2","-13","-48","-85","118","123","0","5","0","0","0","0","2","2","2","-3","0","0","-41","-","0","0","0","0","0","0","0","-10","-21","0","-26","0","0","0","0","0","0","0","0","0","0","0","2","-2","0","0","0","0","0","5","5","8","22","-3","1","0","3","0","0","0","-4","-24","-85","123","-1","0","-1","3","5","0","-","-","0","5","-","","",""
"198501","-11","-2","-4","-20","-31","0","-45","66","126","-51","-54","-1","3","5","0","0","0","1","1","2","-1","0","0","-8","-","5","17","0","0","-1","0","0","-120","-156","0","-192","-165","-247","1","1","0","0","1","2","0","0","-3","-4","-3","0","0","0","0","0","18","0","72","-17","13","-2","0","-3","-5","0","0","-1","-31","126","-54","-7","3","-12","2","1","-13","-","-","0","15","-","","",""
"198502","-2","3","3","-10","0","1","57","-9","-23","67","66","3","-10","3","0","0","0","0","2","-1","0","0","0","0","0","1","1","-20","6","8","1","0","-35","-42","0","-44","-65","-101","3","30","-21","0","0","0","4","0","-2","-2","-3","0","1","0","7","0","-12","0","-32","1","-8","2","0","2","4","0","0","8","0","-23","66","-3","2","-3","2","4","-3","-","-","2","-11","-","","",""
"198503","7","6","-1","24","33","6","-46","24","44","54","55","9","3","-5","-2","0","0","1","0","1","0","0","0","0","0","-1","0","21","-25","2","-5","0","49","89","0","94","38","61","0","0","29","0","17","0","0","29","1","2","1","0","0","0","0","0","9","30","26","1","-1","-3","0","-19","9","0","0","43","33","44","55","4","-4","8","1","1","5","-","-","2","9","-","","",""
"198504","7","6","6","15","28","0","18","83","131","-119","-122","-1","0","0","1","0","1","2","1","13","3","0","11","0","0","1","1","13","0","-3","0","0","37","47","-1","49","59","91","0","-7","15","0","0","0","0","0","3","0","6","0","24","42","0","0","5","0","4","-1","9","3","0","-1","13","0","0","21","28","131","-122","7","4","7","4","-1","6","-","-","23","4","-","","",""
"198505","1","-6","0","-30","-50","0","-28","-74","-112","120","121","4","4","0","35","0","0","1","0","-1","0","0","0","0","0","-1","-7","16","0","-7","6","0","30","23","3","24","72","110","0","0","0","0","-1","-3","0","0","14","26","16","0","0","0","0","0","-7","0","-38","0","4","-1","0","1","-4","0","0","-33","-50","-112","121","3","0","1","1","2","4","-","-","0","-1","-","","",""
"198506","0","0","-1","10","2","-6","14","-3","-5","-42","-43","-2","1","11","3","0","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","-1","-9","15","0","0","0","-1","-6","0","0","-3","-2","-6","0","0","0","0","0","4","-1","17","0","1","-4","0","0","-20","0","0","-12","2","-5","-43","1","4","0","4","6","1","-","-","0","3","-","","",""
"198507","2","13","0","12","41","-7","31","162","268","-82","-84","1","2","4","-1","0","0","1","1","1","0","0","0","0","0","-12","0","0","-100","-13","0","0","-29","-27","0","-27","-32","-48","0","-79","0","0","0","0","0","0","-2","2","-5","0","0","0","0","0","-4","0","-16","0","-1","0","0","2","0","0","0","80","41","268","-84","-3","-2","2","0","-2","-4","-","-","0","-3","-","","",""
"198508","-2","-1","2","20","30","0","-5","-64","-98","73","75","-2","0","0","0","0","2","0","1","1","0","0","0","0","0","5","0","0","58","0","0","0","-48","-89","-5","-94","-37","-59","7","53","-14","0","1","4","0","0","6","25","0","0","0","0","0","0","12","0","32","16","5","0","0","0","0","0","0","-7","30","-98","75","-3","-1","-2","0","1","-2","-","-","0","11","-","","",""
"198509","1","-11","-3","-45","-64","-1","48","-67","-108","2","1","5","-7","0","0","0","0","1","1","0","0","0","0","0","0","7","1","-13","95","0","0","0","86","130","-1","137","102","155","2","8","4","0","0","0","0","0","2","-2","4","0","0","0","0","0","-9","0","-32","-3","-3","-6","0","0","-29","0","0","-64","-64","-108","1","7","3","1","1","1","7","-","-","1","-9","-","","",""
"198510","12","19","6","10","13","2","20","117","193","111","114","1","1","0","0","0","0","-2","-2","1","0","0","0","0","0","2","2","13","0","0","0","0","25","16","0","17","50","69","5","0","16","0","0","0","0","0","1","5","-3","0","0","0","0","0","21","-6","90","-1","1","7","0","0","32","0","0","94","13","193","114","5","1","13","-1","-2","6","-","-","0","20","-","","",""
"198511","-9","-20","0","40","63","-1","-19","-133","-206","-213","-217","0","4","5","0","0","0","0","0","0","-6","0","0","-68","0","-1","0","3","0","-11","0","0","10","13","0","13","11","16","0","0","0","0","-1","0","-4","0","-1","-1","-4","0","0","0","0","0","-20","-5","-84","1","3","0","0","0","0","0","0","-98","63","-206","-217","-1","1","-10","1","1","-2","-","-","0","-19","-","","",""
"198512","1","-1","0","-4","-7","0","46","52","84","-193","-200","16","-1","4","-1","0","0","0","-1","1","-2","0","0","-28","0","1","2","0","0","5","0","0","4","2","0","3","11","3","32","0","0","0","0","0","0","0","0","7","-2","0","0","0","0","0","14","-5","52","19","-2","-5","0","0","-21","0","0","-21","-7","84","-200","3","6","1","1","1","3","-","-","0","15","-","","",""
"198601","4","23","0","35","42","0","-42","129","212","219","227","1","0","0","-1","0","0","2","3","1","0","0","0","-9","0","-4","-2","-3","-42","3","0","0","-83","-88","0","-92","-143","-206","0","0","-18","2","2","7","0","0","1","1","0","0","0","0","0","0","28","-10","11","-16","62","0","0","-1","0","0","0","131","42","212","227","-4","-1","5","1","1","-5","-","-","0","25","-","","",""
"198602","-6","-12","0","-44","-65","0","-8","-27","-44","-70","-73","-5","0","5","0","0","0","0","0","-2","-1","0","0","-10","0","-4","-2","0","-29","0","0","0","-19","-25","0","-26","-32","-50","0","0","0","0","0","0","0","0","-1","-1","0","0","0","0","0","0","-3","-1","-14","2","0","5","0","0","23","0","0","-59","-65","-44","-73","-2","0","-7","0","2","-2","-","-","0","-3","-","","",""
"198603","4","-1","-3","53","88","0","9","-75","-115","2","-1","3","4","0","0","0","0","2","2","1","0","0","0","1","0","0","0","0","0","0","2","0","48","102","0","107","3","5","0","34","-6","0","0","-1","0","0","-3","2","-8","0","0","0","0","0","8","0","27","3","0","0","0","1","0","0","0","-2","88","-115","-1","4","-1","5","2","3","4","-","-","1","8","-","","",""
